id,name,short_name,aicte_code,eamcet_code,l4g_code,l4g_group_code,type,address,website,latlong,district_code
25,Massey Group Institution of Technology,IIT25,AICTE00025,EAMCET0025,L4G000025,GRP025,Private University-State,"0705 Hansen Row
New Angela, MO 21873",http://cox-barnett.com/,"-14.6545315,108.419251",41
26,"Smith, Wiley and Moore Institution of Technology",IIT26,AICTE00026,EAMCET0026,L4G000026,GRP026,Unknown,"608 Barrett Junction Apt. 466
Richardshire, GU 26514",https://griffith-baker.com/,"22.5292765,105.884382",94
27,Hamilton LLC Institution of Technology,IIT27,AICTE00027,EAMCET0027,L4G000027,GRP027,Private University-Deemed to be,"911 Shah Road
Port Monicaside, GA 35812",https://www.willis.info/,"-9.9104315,-34.878416",88
28,"Cook, Barrett and Osborne Institution of Technology",IIT28,AICTE00028,EAMCET0028,L4G000028,GRP028,Autonomous College,"1609 Lisa Lake
Smithburgh, OR 14190",http://www.coffey.biz/,"27.239564,-118.598034",76
29,Freeman-Gentry Institution of Technology,IIT29,AICTE00029,EAMCET0029,L4G000029,GRP029,Private University-Deemed to be,"689 Smith Drive
North Garyberg, SD 02318",http://www.miller-williams.biz/,"-75.934519,-101.932302",85
30,"Lopez, Howard and Dennis Institution of Technology",IIT30,AICTE00030,EAMCET0030,L4G000030,GRP030,Public University,"50204 Andrew Falls Suite 681
Stephanietown, IN 18113",https://www.craig-dunn.info/,"36.7786605,41.869758",81
31,Myers-Perez Institution of Technology,IIT31,AICTE00031,EAMCET0031,L4G000031,GRP031,Private University-Deemed to be,"3568 Aaron Shoals Apt. 114
Ryanstad, PW 90209",http://reed-davis.com/,"-72.0949755,120.905140",1
32,Miller-Campos Institution of Technology,IIT32,AICTE00032,EAMCET0032,L4G000032,GRP032,Affiliated College,"4832 Brown Run
Williamshaven, MI 23338",https://www.mason-wilson.com/,"62.6979195,9.513602",25
33,Garcia Ltd Institution of Technology,IIT33,AICTE00033,EAMCET0033,L4G000033,GRP033,Private University-State,"8904 Harding Court Suite 615
Riveraland, LA 57981",http://owens-davila.com/,"-73.303344,121.604079",61
34,Lozano-May Institution of Technology,IIT34,AICTE00034,EAMCET0034,L4G000034,GRP034,Public University,"21172 Lisa Lock Suite 293
West Katherinemouth, KY 02308",https://www.lee-fleming.com/,"-50.866781,123.333173",99
35,"Cook, Johnson and Clements Institution of Technology",IIT35,AICTE00035,EAMCET0035,L4G000035,GRP035,Public University,"7434 Mcintosh Valleys
Kevinshire, AS 19024",http://jones-patterson.net/,"-38.1237315,178.275395",14
36,Ortiz-Garcia Institution of Technology,IIT36,AICTE00036,EAMCET0036,L4G000036,GRP036,Affiliated College,"829 Nguyen Ridges Suite 389
South John, OK 55597",https://www.rivera-johnson.com/,"73.5952295,62.163327",37
37,"Ball, Mcgrath and Soto Institution of Technology",IIT37,AICTE00037,EAMCET0037,L4G000037,GRP037,Public University,"USS Brown
FPO AA 96650",http://www.hill-ray.com/,"1.2498245,-91.666333",92
38,Noble Ltd Institution of Technology,IIT38,AICTE00038,EAMCET0038,L4G000038,GRP038,Autonomous College,"76511 Melissa Overpass
Mackenzieside, DE 92963",https://perkins.com/,"47.1904345,-47.863094",97
39,Klein-Smith Institution of Technology,IIT39,AICTE00039,EAMCET0039,L4G000039,GRP039,Private University-State,"4796 Hood Drives Suite 116
New Sharonview, TX 43121",https://www.wong.com/,"-40.049384,-51.967579",25
40,"Perry, Walker and Garrison Institution of Technology",IIT40,AICTE00040,EAMCET0040,L4G000040,GRP040,Public University,"918 Franklin Islands Suite 929
Portershire, GA 24529",https://ross.com/,"-42.591379,107.418464",64
41,"Brooks, Tate and Carr Institution of Technology",IIT41,AICTE00041,EAMCET0041,L4G000041,GRP041,Unknown,"PSC 0386, Box 9481
APO AP 72024",http://walton.info/,"23.055793,173.825204",97
42,Monroe-Cook Institution of Technology,IIT42,AICTE00042,EAMCET0042,L4G000042,GRP042,Unknown,"72164 Marquez Inlet Suite 381
Saundersstad, WV 01087",http://www.rasmussen-richardson.com/,"86.1728015,-169.480469",11
43,Smith-Ochoa Institution of Technology,IIT43,AICTE00043,EAMCET0043,L4G000043,GRP043,Private University-Deemed to be,"1789 Andrea Mall
Nicoleville, MA 33079",https://www.guzman.com/,"-76.860570,-24.948490",40
44,Christensen-Clark Institution of Technology,IIT44,AICTE00044,EAMCET0044,L4G000044,GRP044,Private University-State,"19306 Craig Port Suite 080
Dicksonberg, WV 17905",https://simmons.biz/,"67.4752075,137.314321",26
45,"Owens, Ramirez and Williams Institution of Technology",IIT45,AICTE00045,EAMCET0045,L4G000045,GRP045,Affiliated College,"5089 Duane Fords Suite 469
Michellehaven, AL 50198",https://www.pham.info/,"-29.800211,39.991383",19
46,"Montoya, Brown and Stewart Institution of Technology",IIT46,AICTE00046,EAMCET0046,L4G000046,GRP046,Unknown,"357 Amy Springs Apt. 061
Maddoxbury, DC 61715",https://carter.net/,"21.6732675,138.287627",55
47,Carter-Bradford Institution of Technology,IIT47,AICTE00047,EAMCET0047,L4G000047,GRP047,Unknown,"222 Kevin Motorway Apt. 564
Joemouth, SC 00856",http://lucas.net/,"34.9869175,-48.105828",7
48,Fuller PLC Institution of Technology,IIT48,AICTE00048,EAMCET0048,L4G000048,GRP048,Private University-Deemed to be,"357 Alicia Points Suite 239
Christopherburgh, CT 03510",https://chapman-taylor.com/,"66.912263,92.438816",90
49,"Price, Galvan and Smith Institution of Technology",IIT49,AICTE00049,EAMCET0049,L4G000049,GRP049,Autonomous College,"784 Gregory Ferry Suite 051
North Natalie, KY 03794",https://www.saunders.com/,"-26.719837,-133.917770",68
50,"Campbell, Robinson and Torres Institution of Technology",IIT50,AICTE00050,EAMCET0050,L4G000050,GRP050,Private University-State,"071 Brandy Village Apt. 226
New Sarahside, MP 83577",http://www.williams-webb.com/,"55.5346445,31.829220",82
