id,rollno,year_of_joining,year_of_graduation,learner_code,institution_code,branch_code
164,"79['a', 'U', 'N']441",2019,2023,607,30,3
165,"97['v', 'g', 'k']39",2016,2020,807,3,33
166,"41['H', 'l', 'b']789",2018,2022,684,48,10
167,"59['x', 'j', 'b']900",2017,2021,844,20,15
168,"41['r', 'x', 'v']189",2021,2025,714,33,15
169,"49['y', 'R', 'K']158",2015,2019,825,29,23
170,"32['Z', 'W', 'a']408",2020,2024,738,18,9
171,"37['r', 'x', 'h']41",2022,2026,265,19,26
172,"69['G', 'W', 'q']469",2022,2026,796,24,8
173,"12['M', 'm', 'n']1",2022,2026,928,14,11
174,"25['S', 'a', 'j']373",2017,2021,684,26,14
175,"63['W', 'k', 'x']382",2015,2019,429,24,27
176,"39['J', 'Y', 'N']726",2021,2025,868,17,29
177,"69['T', 'V', 'W']157",2018,2022,633,34,2
178,"96['r', 'P', 'b']397",2020,2024,166,6,13
179,"53['l', 'j', 'u']607",2017,2021,649,45,14
180,"42['m', 'D', 'W']700",2020,2024,503,28,24
181,"45['e', 'I', 'k']206",2021,2025,634,28,21
182,"67['e', 'W', 'Q']923",2022,2026,92,1,40
183,"33['M', 'g', 'M']476",2017,2021,995,1,35
184,"80['D', 'P', 'p']473",2020,2024,282,50,5
185,"15['u', 'k', 'N']419",2018,2022,181,43,4
186,"52['m', 's', 'n']686",2017,2021,739,11,26
187,"48['z', 'J', 'V']315",2020,2024,538,27,37
188,"48['t', 'c', 'r']338",2016,2020,867,24,9
189,"79['k', 'I', 'x']110",2017,2021,897,25,39
190,"41['K', 'S', 'B']615",2021,2025,25,46,22
191,"57['w', 'A', 't']52",2015,2019,966,28,22
192,"28['Q', 'z', 'g']540",2019,2023,205,10,1
193,"22['f', 'm', 'O']161",2021,2025,483,7,15
194,"86['v', 'o', 'h']458",2022,2026,655,37,39
195,"12['A', 'k', 'B']305",2016,2020,573,4,38
196,"6['j', 'l', 'i']651",2015,2019,466,23,12
197,"36['C', 'm', 'w']113",2022,2026,850,26,12
198,"58['X', 'n', 'X']720",2018,2022,552,13,6
199,"52['f', 'f', 'Y']861",2016,2020,918,3,28
200,"85['m', 't', 'C']496",2019,2023,876,2,28
201,"23['O', 'A', 'D']105",2018,2022,958,3,37
202,"43['X', 'n', 'Q']622",2020,2024,251,40,23
203,"22['M', 'U', 'R']203",2017,2021,945,28,7
204,"81['t', 't', 'C']228",2017,2021,219,9,16
205,"12['o', 'D', 'B']152",2017,2021,104,34,3
206,"15['u', 'a', 'c']948",2022,2026,285,2,13
207,"66['q', 'i', 'l']826",2020,2024,991,36,7
208,"92['s', 'H', 'k']88",2020,2024,35,2,30
209,"7['H', 'e', 'l']311",2017,2021,666,7,16
210,"55['r', 'A', 'D']732",2016,2020,608,9,35
211,"47['q', 'q', 'x']582",2022,2026,472,5,39
212,"79['x', 'Q', 'k']619",2017,2021,943,25,14
213,"29['W', 'l', 'o']365",2019,2023,265,39,5
214,"98['H', 'i', 'T']665",2019,2023,481,25,39
215,"9['d', 'R', 'z']612",2015,2019,786,5,28
216,"44['l', 'v', 'B']928",2015,2019,63,41,4
217,"48['W', 'T', 'W']135",2021,2025,727,35,18
218,"65['V', 't', 'l']537",2020,2024,869,47,10
219,"75['l', 'J', 'P']356",2015,2019,987,23,17
220,"98['v', 'P', 'S']544",2021,2025,89,12,40
221,"8['W', 'b', 'c']602",2018,2022,631,28,8
222,"10['T', 'E', 'p']1",2016,2020,419,26,31
223,"0['n', 'u', 'x']438",2016,2020,786,26,1
224,"59['h', 'w', 'Q']696",2021,2025,435,27,8
225,"83['f', 'e', 'p']986",2020,2024,766,33,26
226,"43['B', 'O', 'Q']666",2020,2024,775,23,11
227,"10['e', 'b', 'f']967",2020,2024,386,27,29
228,"20['Y', 'O', 'P']449",2021,2025,370,49,8
229,"30['B', 'B', 'n']874",2019,2023,66,21,25
230,"21['F', 'P', 'a']309",2019,2023,673,8,15
231,"1['z', 'd', 'v']764",2020,2024,969,41,19
232,"28['T', 'K', 'D']864",2020,2024,863,26,19
233,"52['h', 'W', 'c']177",2019,2023,195,29,25
234,"53['X', 'm', 'Q']755",2020,2024,717,41,6
235,"53['f', 'H', 'c']317",2021,2025,791,48,40
236,"64['f', 'y', 'C']62",2022,2026,490,17,5
237,"17['Q', 'i', 'm']525",2017,2021,345,41,25
238,"53['V', 'R', 'p']405",2020,2024,819,18,40
239,"72['V', 'Z', 'P']420",2015,2019,779,50,7
240,"40['J', 'A', 'H']411",2019,2023,384,8,4
241,"2['s', 's', 'U']551",2021,2025,725,16,11
242,"7['l', 'L', 'v']290",2021,2025,76,8,23
243,"35['M', 'f', 'L']81",2016,2020,328,49,29
244,"27['Z', 'g', 'f']892",2020,2024,550,2,14
245,"92['f', 'H', 'b']345",2015,2019,837,24,11
246,"16['M', 'G', 'G']485",2021,2025,465,25,12
247,"44['Q', 'D', 'T']292",2022,2026,554,11,7
248,"91['j', 'n', 'D']38",2017,2021,922,43,30
249,"35['h', 'B', 'Q']405",2015,2019,300,49,25
250,"2['T', 'u', 'h']737",2015,2019,238,8,3
251,"85['K', 'g', 'n']986",2021,2025,681,48,17
252,"34['i', 'W', 'W']599",2022,2026,90,40,35
253,"59['l', 'B', 'U']6",2018,2022,984,25,14
254,"98['z', 'G', 'E']296",2017,2021,330,16,2
255,"4['o', 'y', 'm']385",2021,2025,894,25,21
256,"61['f', 'Y', 'P']376",2019,2023,474,4,26
257,"57['h', 'I', 'Z']404",2015,2019,51,38,25
258,"60['Q', 's', 'U']411",2017,2021,184,41,18
259,"39['f', 'o', 'k']698",2019,2023,248,33,3
260,"59['V', 'n', 'w']886",2019,2023,732,44,40
261,"99['l', 'G', 'p']199",2020,2024,518,27,37
262,"29['O', 't', 'u']428",2018,2022,573,29,33
263,"50['z', 'N', 'h']385",2018,2022,205,4,5
264,"48['a', 'q', 'd']187",2015,2019,396,36,4
265,"17['w', 'r', 'o']110",2019,2023,310,16,21
266,"6['J', 'U', 'H']476",2020,2024,237,8,1
267,"63['F', 'P', 'n']880",2017,2021,908,2,9
268,"60['f', 'h', 'O']363",2022,2026,69,14,27
269,"42['s', 'M', 'E']897",2016,2020,262,40,13
270,"27['Y', 'y', 'O']728",2022,2026,274,39,19
271,"70['k', 't', 'j']423",2018,2022,196,14,29
272,"31['d', 'W', 'j']646",2015,2019,436,13,23
273,"2['p', 'w', 'N']587",2020,2024,978,30,15
274,"37['G', 'Q', 'z']103",2021,2025,161,29,23
275,"94['I', 'q', 'a']661",2016,2020,9,9,25
276,"4['o', 'H', 'y']798",2020,2024,716,5,3
277,"27['t', 'N', 'n']420",2018,2022,496,48,21
278,"43['G', 'w', 'L']869",2020,2024,834,45,38
279,"38['J', 'D', 'd']186",2021,2025,379,2,27
280,"88['k', 'p', 'z']150",2016,2020,741,25,7
281,"63['K', 'A', 'G']448",2018,2022,700,5,8
282,"44['d', 'I', 'r']464",2021,2025,445,24,17
283,"18['s', 'E', 'W']622",2022,2026,300,31,25
284,"77['b', 'y', 'X']229",2018,2022,769,13,21
285,"40['z', 'U', 'p']750",2021,2025,466,27,22
286,"29['n', 'b', 'V']810",2019,2023,790,20,23
287,"50['U', 'i', 'b']148",2017,2021,165,1,19
288,"20['w', 'o', 'i']775",2015,2019,324,47,31
289,"0['p', 'u', 'A']27",2018,2022,734,5,37
290,"26['f', 'w', 'c']604",2022,2026,111,44,19
291,"3['O', 'v', 'p']755",2017,2021,516,16,40
292,"42['Z', 'T', 'L']589",2019,2023,910,30,13
293,"99['y', 'I', 'y']352",2015,2019,122,38,19
294,"53['R', 'I', 'W']179",2022,2026,163,5,4
295,"56['U', 'c', 'r']634",2015,2019,371,42,29
296,"26['l', 'G', 'B']863",2021,2025,806,11,37
297,"94['Q', 'V', 't']799",2016,2020,459,41,37
298,"53['V', 'X', 'U']44",2015,2019,722,10,39
299,"14['B', 'M', 'N']623",2018,2022,962,15,22
300,"18['C', 'V', 'F']151",2018,2022,281,31,35
301,"82['j', 'O', 'B']644",2019,2023,482,14,28
302,"34['x', 'Z', 'i']970",2019,2023,376,41,13
303,"6['f', 'l', 'G']284",2018,2022,515,44,35
304,"24['I', 'J', 'W']825",2015,2019,602,42,25
305,"35['X', 'c', 'f']39",2017,2021,855,2,27
306,"60['o', 'I', 'D']715",2015,2019,819,29,16
307,"72['b', 'o', 'b']37",2021,2025,909,42,1
308,"61['f', 'U', 'P']833",2016,2020,904,26,19
309,"8['e', 'l', 'E']619",2017,2021,329,39,2
310,"77['n', 'O', 'O']956",2015,2019,133,23,34
311,"13['A', 'A', 'X']71",2021,2025,155,44,24
312,"15['k', 'b', 'z']966",2020,2024,755,47,32
313,"14['p', 'o', 'L']999",2017,2021,383,19,22
314,"97['t', 'I', 'x']350",2022,2026,460,30,15
315,"10['A', 'S', 'z']655",2016,2020,801,41,2
316,"83['p', 'z', 'X']827",2015,2019,124,2,7
317,"25['W', 'F', 'T']165",2015,2019,665,46,1
318,"62['K', 'd', 'Z']870",2019,2023,233,34,38
319,"11['N', 'q', 't']334",2017,2021,562,1,11
320,"42['O', 'J', 'u']852",2021,2025,517,32,28
321,"96['V', 'M', 'U']932",2016,2020,28,2,21
322,"54['c', 'Y', 'g']137",2017,2021,653,23,10
323,"68['Z', 'A', 'q']217",2019,2023,516,38,3
324,"89['h', 'i', 'Y']46",2018,2022,744,18,30
325,"9['C', 'g', 'o']551",2017,2021,832,31,27
326,"81['K', 's', 'i']456",2019,2023,477,5,2
327,"91['F', 'b', 'e']221",2021,2025,534,46,13
328,"78['r', 'Q', 'j']356",2016,2020,372,21,8
329,"80['H', 'Z', 'c']642",2015,2019,80,23,5
330,"46['a', 'z', 'O']491",2020,2024,900,16,26
331,"70['q', 'O', 'm']686",2018,2022,1000,20,25
332,"11['w', 'i', 'g']323",2021,2025,305,29,5
333,"98['e', 'p', 'b']535",2018,2022,353,34,27
334,"36['e', 'q', 'P']390",2016,2020,305,7,38
335,"97['r', 'M', 'C']545",2018,2022,553,42,13
336,"3['u', 'x', 'Z']153",2016,2020,104,13,31
337,"92['G', 'Z', 'I']662",2016,2020,531,3,10
338,"69['L', 'B', 'q']977",2017,2021,413,42,20
339,"32['u', 'q', 'i']557",2018,2022,458,32,25
340,"88['I', 'Q', 'z']200",2020,2024,223,47,14
341,"75['K', 'E', 'K']703",2015,2019,409,22,23
342,"61['I', 't', 'i']276",2019,2023,253,22,4
343,"13['x', 'A', 'i']447",2022,2026,333,49,14
344,"72['O', 'A', 'O']589",2019,2023,817,23,33
345,"39['q', 'D', 'N']829",2019,2023,390,37,27
346,"43['P', 'G', 'z']652",2022,2026,434,3,4
347,"14['y', 'f', 'K']621",2015,2019,191,48,6
348,"98['D', 'E', 'j']771",2016,2020,966,6,37
349,"59['B', 'a', 'V']995",2016,2020,965,23,31
350,"0['k', 'H', 'O']211",2022,2026,967,13,38
351,"65['v', 'P', 'O']428",2020,2024,504,38,18
352,"10['A', 'O', 'C']724",2019,2023,19,36,22
353,"2['n', 'K', 'F']435",2018,2022,831,7,12
354,"86['G', 'b', 'r']266",2017,2021,816,30,22
355,"45['e', 'D', 'g']782",2018,2022,189,48,6
356,"1['k', 'K', 'e']506",2021,2025,83,50,25
357,"98['p', 'H', 'O']851",2021,2025,332,3,11
358,"3['R', 'H', 'N']395",2017,2021,263,14,27
359,"47['W', 'B', 'S']954",2019,2023,364,25,1
360,"73['F', 'T', 'D']34",2018,2022,903,45,40
361,"34['Y', 'O', 'r']622",2022,2026,723,41,28
362,"91['P', 'l', 'Z']869",2020,2024,569,27,20
363,"53['Y', 'l', 'g']785",2018,2022,949,7,24
364,"93['s', 'v', 'A']608",2020,2024,174,40,36
365,"30['S', 'l', 'J']372",2019,2023,857,13,6
366,"50['B', 'Z', 'n']599",2016,2020,72,36,40
367,"99['P', 'G', 'w']951",2016,2020,510,39,32
368,"88['C', 'T', 'N']833",2022,2026,349,14,7
369,"98['h', 'A', 'j']92",2022,2026,514,26,32
370,"11['y', 'a', 'U']209",2020,2024,330,26,16
371,"49['z', 'D', 'B']756",2015,2019,1000,20,28
372,"38['i', 'k', 'J']758",2016,2020,797,9,15
373,"15['m', 'O', 'D']806",2020,2024,969,33,24
374,"68['j', 'f', 'Q']111",2018,2022,933,1,4
375,"92['s', 'e', 'L']740",2020,2024,160,40,37
376,"83['j', 'p', 'B']653",2022,2026,492,12,12
377,"69['e', 'D', 'e']932",2019,2023,867,32,20
378,"68['h', 'l', 'g']323",2019,2023,152,41,19
379,"88['d', 'z', 'w']541",2018,2022,727,20,7
380,"26['P', 'C', 'j']283",2017,2021,124,5,28
381,"51['o', 'Q', 'u']928",2021,2025,211,12,29
382,"99['u', 'E', 'u']412",2017,2021,71,36,20
383,"73['z', 't', 'i']712",2017,2021,533,25,31
384,"61['C', 'I', 'v']754",2020,2024,141,31,5
385,"12['M', 'o', 'Y']621",2019,2023,298,40,38
386,"48['i', 'e', 'o']248",2020,2024,208,24,10
387,"61['q', 'a', 'o']230",2021,2025,601,5,23
388,"84['u', 'T', 'k']411",2017,2021,854,14,37
389,"1['O', 'O', 'o']534",2018,2022,387,45,3
390,"47['X', 'b', 'u']789",2019,2023,526,10,27
391,"25['d', 'v', 'N']339",2021,2025,712,29,11
392,"10['b', 's', 'P']949",2019,2023,448,28,34
393,"8['v', 'm', 'K']521",2020,2024,440,30,26
394,"47['p', 'B', 'Z']874",2019,2023,588,27,28
395,"9['i', 'K', 'D']669",2017,2021,541,31,12
396,"30['F', 'q', 'O']751",2018,2022,532,36,39
397,"93['N', 'b', 'u']24",2019,2023,901,7,6
398,"0['X', 'C', 'C']405",2017,2021,37,40,37
399,"22['c', 'A', 'q']489",2018,2022,16,34,26
400,"84['m', 'G', 'R']386",2018,2022,857,28,24
401,"34['E', 'E', 'S']251",2021,2025,259,38,37
402,"33['g', 'h', 'I']801",2017,2021,573,25,19
403,"58['z', 'g', 'n']884",2019,2023,330,44,29
404,"25['A', 'E', 'w']516",2022,2026,759,47,22
405,"45['E', 'z', 'Z']854",2021,2025,256,22,1
406,"89['U', 's', 'I']965",2021,2025,872,25,30
407,"98['e', 'O', 'q']738",2019,2023,328,33,4
408,"90['j', 'S', 'z']514",2016,2020,341,9,10
409,"70['c', 'o', 'O']551",2015,2019,438,23,19
410,"63['e', 'h', 'E']186",2020,2024,180,11,29
411,"4['y', 'X', 'a']908",2021,2025,271,12,17
412,"34['l', 'Q', 'L']17",2016,2020,757,46,16
413,"20['s', 'c', 't']876",2019,2023,366,28,15
414,"87['t', 'S', 'e']223",2020,2024,696,7,27
415,"80['V', 'X', 'l']873",2016,2020,77,21,34
416,"4['z', 'W', 's']364",2018,2022,994,12,6
417,"73['z', 'M', 'h']531",2017,2021,653,22,24
418,"57['z', 's', 'l']330",2022,2026,539,15,17
419,"51['H', 'R', 'A']910",2016,2020,127,19,19
420,"26['C', 'k', 'L']105",2018,2022,381,39,40
421,"15['N', 'l', 's']633",2020,2024,477,33,10
422,"66['C', 'O', 'I']326",2018,2022,948,17,29
423,"62['m', 'H', 'x']975",2017,2021,207,45,11
424,"76['c', 'p', 'R']458",2015,2019,425,1,4
425,"95['x', 'j', 'B']790",2020,2024,283,20,20
426,"78['N', 'i', 'Q']992",2016,2020,320,26,1
427,"73['o', 'g', 'v']66",2016,2020,506,36,6
428,"91['L', 'H', 'D']898",2022,2026,694,18,32
429,"34['U', 'S', 'a']944",2017,2021,613,31,30
430,"10['b', 'c', 'k']31",2017,2021,254,50,32
431,"33['N', 'p', 'V']800",2016,2020,281,8,3
432,"43['U', 'R', 'D']683",2022,2026,882,30,32
433,"7['a', 'Y', 'D']9",2021,2025,701,35,25
434,"47['C', 'g', 'y']19",2022,2026,102,33,20
435,"9['C', 'O', 'c']154",2021,2025,464,18,3
436,"92['d', 'm', 'Q']514",2017,2021,269,41,35
437,"46['i', 'l', 'o']953",2018,2022,35,8,3
438,"27['J', 'W', 'd']838",2020,2024,368,47,17
439,"58['m', 's', 't']259",2021,2025,654,30,1
440,"19['J', 'E', 'R']751",2016,2020,366,38,19
441,"49['I', 'T', 'W']720",2015,2019,383,47,30
442,"61['F', 'O', 'r']212",2022,2026,619,49,33
443,"43['n', 'r', 'O']664",2017,2021,471,3,12
444,"33['H', 'V', 'u']307",2015,2019,949,37,4
445,"36['n', 'R', 'o']510",2015,2019,323,4,7
446,"34['j', 'A', 'K']210",2021,2025,706,36,29
447,"18['p', 'S', 'q']17",2016,2020,62,12,29
448,"78['K', 'h', 'O']972",2022,2026,227,49,40
449,"9['r', 'D', 'X']20",2016,2020,788,50,11
450,"82['N', 'w', 'i']253",2015,2019,875,15,36
451,"39['T', 'M', 'M']107",2021,2025,832,45,11
452,"64['k', 'H', 's']413",2018,2022,301,28,36
453,"98['r', 'r', 'M']756",2021,2025,707,36,32
454,"31['P', 'M', 'R']419",2021,2025,887,23,22
455,"49['F', 'o', 'M']681",2019,2023,300,11,26
456,"87['M', 'R', 'K']136",2017,2021,115,17,14
457,"42['V', 'j', 'i']563",2015,2019,362,31,9
458,"69['a', 'X', 'z']655",2019,2023,962,25,7
459,"30['C', 'e', 'K']676",2022,2026,317,15,22
460,"69['d', 'B', 'b']187",2020,2024,487,40,39
461,"43['S', 'F', 'g']822",2015,2019,349,39,12
462,"64['E', 'J', 'O']612",2021,2025,141,12,16
463,"75['P', 'b', 'T']309",2019,2023,23,20,31
464,"44['x', 'B', 'U']583",2022,2026,622,40,18
465,"86['s', 'o', 'W']884",2019,2023,905,36,38
466,"25['J', 'X', 'o']49",2019,2023,977,48,18
467,"58['K', 'D', 'I']573",2022,2026,569,45,26
468,"61['B', 'N', 'j']884",2018,2022,151,5,5
469,"85['r', 'D', 'y']953",2018,2022,995,45,19
470,"20['U', 'n', 'Y']751",2021,2025,298,12,24
471,"39['y', 'd', 'H']275",2018,2022,831,39,7
472,"22['B', 'X', 'i']191",2022,2026,864,7,12
473,"93['w', 'M', 'Y']11",2016,2020,59,37,32
474,"12['W', 'S', 'K']384",2015,2019,465,16,35
475,"43['J', 'u', 'f']872",2019,2023,225,9,37
476,"29['h', 'm', 'n']957",2015,2019,367,34,19
477,"15['J', 'A', 's']838",2020,2024,902,20,40
478,"17['t', 'V', 'I']139",2020,2024,756,45,17
